,CODIGO,POBLACION,DEPARTAMENTO,PROVINCIA,LLAVE,CASOS POR PROVINCIA,PORCENTAJE_PROVINCIA,FALLECIDOS POR PROVINCIA,MORTALIDAD_PROVINCIA,FALLECIDOS_SINADEF,PORC_MUERTES_COVID
97,1010,18913,HUANUCO,LAURICOCHA,HUANUCOLAURICOCHA,208,1.1,42,20.19,159,26.42
98,1011,19897,HUANUCO,YAROWILCA,HUANUCOYAROWILCA,320,1.61,39,12.19,253,15.42
99,1101,391519,ICA,ICA,ICAICA,28099,7.18,3532,12.57,6084,58.05
100,1102,226113,ICA,CHINCHA,ICACHINCHA,10559,4.67,2573,24.37,4068,63.25
101,1103,69157,ICA,NASCA,ICANAZCA,3918,5.67,652,16.64,1154,56.5
102,1104,13232,ICA,PALPA,ICAPALPA,1916,14.48,148,7.72,266,55.64
103,1105,150744,ICA,PISCO,ICAPISCO,9991,6.63,1374,13.75,2439,56.33
104,1201,545615,JUNIN,HUANCAYO,JUNINHUANCAYO,43141,7.91,3574,8.28,7631,46.84
105,1202,55591,JUNIN,CONCEPCION,JUNINCONCEPCION,2138,3.85,209,9.78,831,25.15
106,1203,151489,JUNIN,CHANCHAMAYO,JUNINCHANCHAMAYO,9943,6.56,902,9.07,1929,46.76
107,1204,83257,JUNIN,JAUJA,JUNINJAUJA,4944,5.94,517,10.46,1544,33.48
108,1205,23133,JUNIN,JUNIN,JUNINJUNIN,1378,5.96,132,9.58,360,36.67
109,1206,203985,JUNIN,SATIPO,JUNINSATIPO,10865,5.33,422,3.88,1195,35.31
110,1207,89590,JUNIN,TARMA,JUNINTARMA,4586,5.12,574,12.52,1657,34.64
111,1208,40390,JUNIN,YAULI,JUNINYAULI,2671,6.61,321,12.02,488,65.78
112,1209,52988,JUNIN,CHUPACA,JUNINCHUPACA,3895,7.35,289,7.42,752,38.43
113,1301,970016,LA LIBERTAD,TRUJILLO,LALIBERTADTRUJILLO,62751,6.47,6819,10.87,14980,45.52
114,1302,115786,LA LIBERTAD,ASCOPE,LALIBERTADASCOPE,3230,2.79,837,25.91,1640,51.04
115,1303,14457,LA LIBERTAD,BOLIVAR,LALIBERTADBOLIVAR,167,1.16,20,11.98,80,25
116,1304,78418,LA LIBERTAD,CHEPEN,LALIBERTADCHEPEN,3755,4.79,680,18.11,978,69.53
117,1305,28024,LA LIBERTAD,JULCAN,LALIBERTADJULCAN,477,1.7,34,7.13,194,17.53
118,1306,77862,LA LIBERTAD,OTUZCO,LALIBERTADOTUZCO,1968,2.53,164,8.33,850,19.29
119,1307,102897,LA LIBERTAD,PACASMAYO,LALIBERTADPACASMAYO,4403,4.28,697,15.83,1320,52.8
120,1308,76103,LA LIBERTAD,PATAZ,LALIBERTADPATAZ,1341,1.76,92,6.86,352,26.14
121,1309,144405,LA LIBERTAD,SANCHEZ CARRION,LALIBERTADSANCHEZCARRION,3494,2.42,183,5.24,717,25.52
122,1310,50896,LA LIBERTAD,SANTIAGO DE CHUCO,LALIBERTADSANTIAGODECHUCO,1109,2.18,103,9.29,374,27.54
123,1311,26892,LA LIBERTAD,GRAN CHIMU,LALIBERTADGRANCHIMU,1055,3.92,58,5.5,194,29.9
124,1312,92324,LA LIBERTAD,VIRU,LALIBERTADVIRU,2633,2.85,413,15.69,1063,38.85
125,1401,799675,LAMBAYEQUE,CHICLAYO,LAMBAYEQUECHICLAYO,44582,5.58,6530,14.65,6458,101.11
126,1402,97415,LAMBAYEQUE,FERREÑAFE,LAMBAYEQUEFERRENAFE,3916,4.02,615,15.7,733,83.9
127,1403,300170,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUELAMBAYEQUE,10880,3.62,1410,12.96,2137,65.98
128,1501,8574974,LIMA,LIMA,LIMALIMA,796907,9.29,80896,10.15,143854,56.23
129,1502,144381,LIMA,BARRANCA,LIMABARRANCA,9655,6.69,1159,12,1996,58.07
130,1503,6559,LIMA,CAJATAMBO,LIMACAJATAMBO,326,4.97,56,17.18,61,91.8
131,1504,11548,LIMA,CANTA,LIMACANTA,864,7.48,66,7.64,183,36.07
132,1505,240013,LIMA,CAÑETE,LIMACANETE,10210,4.25,1926,18.86,2466,78.1
133,1506,183898,LIMA,HUARAL,LIMAHUARAL,15043,8.18,1404,9.33,2650,52.98
134,1507,58145,LIMA,HUAROCHIRI,LIMAHUAROCHIRI,4367,7.51,499,11.43,1276,39.11
135,1508,227685,LIMA,HUAURA,LIMAHUAURA,17594,7.73,1858,10.56,3152,58.95
136,1509,17739,LIMA,OYON,LIMAOYON,454,2.56,75,16.52,164,45.73
137,1510,20463,LIMA,YAUYOS,LIMAYAUYOS,548,2.68,76,13.87,271,28.04
138,1601,479866,LORETO,MAYNAS,LORETOMAYNAS,25550,5.32,2993,11.71,4864,61.53
139,1602,122725,LORETO,ALTO AMAZONAS,LORETOALTOAMAZONAS,5025,4.09,399,7.94,950,42
140,1603,62437,LORETO,LORETO,LORETOLORETO,4190,6.71,150,3.58,310,48.39
141,1604,49072,LORETO,MARISCAL RAMON CASTILLA,LORETOMARISCALRAMONCASTILLA,2356,4.8,150,6.37,189,79.37
142,1605,58511,LORETO,REQUENA,LORETOREQUENA,2298,3.93,193,8.4,384,50.26
143,1606,54637,LORETO,UCAYALI,LORETOUCAYALI,1069,1.96,147,13.75,408,36.03
144,1607,48482,LORETO,DATEM DEL MARAÑON,LORETODATEMDELMARANON,2894,5.97,106,3.66,193,54.92
145,1608,7780,LORETO,PUTUMAYO,LORETOPUTUMAYO,1311,16.85,19,1.45,17,111.76
146,1701,111474,MADRE DE DIOS,TAMBOPATA,MADREDEDIOSTAMBOPATA,11114,9.97,675,6.07,1514,44.58
147,1702,18549,MADRE DE DIOS,MANU,MADREDEDIOSMANU,952,5.13,43,4.52,126,34.13
148,1703,11047,MADRE DE DIOS,TAHUAMANU,MADREDEDIOSTAHUAMANU,1681,15.22,43,2.56,78,55.13
149,1801,85349,MOQUEGUA,MARISCAL NIETO,MOQUEGUAMARISCALNIETO,18337,21.48,730,3.98,1182,61.76
150,1802,14865,MOQUEGUA,GENERAL SANCHEZ CERRO,MOQUEGUAGENERALSANCHEZCERRO,1213,8.16,52,4.29,185,28.11
151,1803,74649,MOQUEGUA,ILO,MOQUEGUAILO,9198,12.32,713,7.75,1087,65.59
152,1901,123015,PASCO,PASCO,PASCOPASCO,7153,5.81,595,8.32,1186,50.17
153,1902,43580,PASCO,DANIEL ALCIDES CARRION,PASCODANIELALCIDESCARRION,1043,2.39,99,9.49,304,32.57
154,1903,87470,PASCO,OXAPAMPA,PASCOOXAPAMPA,6990,7.99,341,4.88,840,40.6
155,2001,799321,PIURA,PIURA,PIURAPIURA,41426,5.18,5412,13.06,8515,63.56
156,2002,119287,PIURA,AYABACA,PIURAAYABACA,3160,2.65,276,8.73,757,36.46
157,2003,111501,PIURA,HUANCABAMBA,PIURAHUANCABAMBA,1254,1.12,201,16.03,730,27.53
