,ubigeo_inei,DEPARTAMENTO,PROVINCIA,FECHA,CASOS,FALLECIDOS,FALLECIDOS_SINADEF,FALLECIDOS_2019,EXCESO_MUERTES
581,1301,LA LIBERTAD,TRUJILLO,202004,769,50,391,358,33
583,1301,LA LIBERTAD,TRUJILLO,202005,2936,241,673,366,307
585,1301,LA LIBERTAD,TRUJILLO,202006,3806,1103,1801,397,1404
587,1301,LA LIBERTAD,TRUJILLO,202007,4355,885,1504,415,1089
589,1301,LA LIBERTAD,TRUJILLO,202008,4851,391,791,443,348
591,1301,LA LIBERTAD,TRUJILLO,202009,4015,201,510,405,105
592,1301,LA LIBERTAD,TRUJILLO,202010,2065,100,465,426,39
593,1301,LA LIBERTAD,TRUJILLO,202011,1216,89,483,400,83
594,1301,LA LIBERTAD,TRUJILLO,202012,1287,146,588,423,165
577,1301,LA LIBERTAD,TRUJILLO,202101,2453,327,787,417,370
578,1301,LA LIBERTAD,TRUJILLO,202102,4403,476,905,402,503
580,1301,LA LIBERTAD,TRUJILLO,202103,7316,656,1163,405,758
582,1301,LA LIBERTAD,TRUJILLO,202104,9430,1072,1649,358,1291
584,1301,LA LIBERTAD,TRUJILLO,202105,9205,747,1278,366,912
586,1301,LA LIBERTAD,TRUJILLO,202106,2344,240,665,397,268
588,1301,LA LIBERTAD,TRUJILLO,202107,1551,64,483,415,68
590,1301,LA LIBERTAD,TRUJILLO,202108,720,27,448,443,5
597,1302,LA LIBERTAD,ASCOPE,202003,0,0,43,61,-18
599,1302,LA LIBERTAD,ASCOPE,202004,44,6,39,63,-24
601,1302,LA LIBERTAD,ASCOPE,202005,173,28,71,55,16
603,1302,LA LIBERTAD,ASCOPE,202006,325,131,174,61,113
605,1302,LA LIBERTAD,ASCOPE,202007,354,157,222,56,166
607,1302,LA LIBERTAD,ASCOPE,202008,673,92,116,62,54
609,1302,LA LIBERTAD,ASCOPE,202009,530,38,79,68,11
610,1302,LA LIBERTAD,ASCOPE,202010,41,16,45,52,-7
611,1302,LA LIBERTAD,ASCOPE,202011,36,9,45,45,0
612,1302,LA LIBERTAD,ASCOPE,202012,30,16,70,53,17
595,1302,LA LIBERTAD,ASCOPE,202101,80,32,78,62,16
596,1302,LA LIBERTAD,ASCOPE,202102,289,38,86,77,9
598,1302,LA LIBERTAD,ASCOPE,202103,253,79,133,61,72
600,1302,LA LIBERTAD,ASCOPE,202104,203,86,128,63,65
602,1302,LA LIBERTAD,ASCOPE,202105,106,62,121,55,66
604,1302,LA LIBERTAD,ASCOPE,202106,36,32,83,61,22
606,1302,LA LIBERTAD,ASCOPE,202107,48,7,52,56,-4
608,1302,LA LIBERTAD,ASCOPE,202108,9,8,55,62,-7
615,1303,LA LIBERTAD,BOLIVAR,202003,0,0,2,7,-5
617,1303,LA LIBERTAD,BOLIVAR,202004,0,0,1,6,-5
619,1303,LA LIBERTAD,BOLIVAR,202005,0,0,3,7,-4
621,1303,LA LIBERTAD,BOLIVAR,202006,0,0,2,4,-2
623,1303,LA LIBERTAD,BOLIVAR,202007,3,0,5,2,3
625,1303,LA LIBERTAD,BOLIVAR,202008,5,1,1,5,-4
627,1303,LA LIBERTAD,BOLIVAR,202009,3,0,1,2,-1
628,1303,LA LIBERTAD,BOLIVAR,202010,2,0,0,6,-6
629,1303,LA LIBERTAD,BOLIVAR,202011,2,0,4,7,-3
630,1303,LA LIBERTAD,BOLIVAR,202012,3,1,8,2,6
613,1303,LA LIBERTAD,BOLIVAR,202101,0,0,5,5,0
614,1303,LA LIBERTAD,BOLIVAR,202102,4,3,9,3,6
616,1303,LA LIBERTAD,BOLIVAR,202103,29,2,8,7,1
618,1303,LA LIBERTAD,BOLIVAR,202104,72,9,14,6,8
620,1303,LA LIBERTAD,BOLIVAR,202105,31,1,4,7,-3
622,1303,LA LIBERTAD,BOLIVAR,202106,8,2,7,4,3
624,1303,LA LIBERTAD,BOLIVAR,202107,4,1,5,2,3
626,1303,LA LIBERTAD,BOLIVAR,202108,1,0,1,5,-4
633,1304,LA LIBERTAD,CHEPEN,202003,0,0,23,38,-15
635,1304,LA LIBERTAD,CHEPEN,202004,138,15,21,26,-5
637,1304,LA LIBERTAD,CHEPEN,202005,344,80,62,23,39
639,1304,LA LIBERTAD,CHEPEN,202006,613,62,48,25,23
641,1304,LA LIBERTAD,CHEPEN,202007,246,72,63,33,30
643,1304,LA LIBERTAD,CHEPEN,202008,392,62,49,41,8
645,1304,LA LIBERTAD,CHEPEN,202009,276,21,22,29,-7
646,1304,LA LIBERTAD,CHEPEN,202010,246,10,16,53,-37
647,1304,LA LIBERTAD,CHEPEN,202011,105,21,29,43,-14
648,1304,LA LIBERTAD,CHEPEN,202012,26,14,38,40,-2
631,1304,LA LIBERTAD,CHEPEN,202101,55,19,37,45,-8
632,1304,LA LIBERTAD,CHEPEN,202102,177,48,76,34,42
634,1304,LA LIBERTAD,CHEPEN,202103,280,65,120,38,82
636,1304,LA LIBERTAD,CHEPEN,202104,339,82,124,26,98
638,1304,LA LIBERTAD,CHEPEN,202105,246,68,113,23,90
640,1304,LA LIBERTAD,CHEPEN,202106,135,24,60,25,35
642,1304,LA LIBERTAD,CHEPEN,202107,77,11,39,33,6
644,1304,LA LIBERTAD,CHEPEN,202108,60,6,38,41,-3
651,1305,LA LIBERTAD,JULCAN,202003,0,0,10,11,-1
653,1305,LA LIBERTAD,JULCAN,202004,0,0,7,6,1
655,1305,LA LIBERTAD,JULCAN,202005,4,0,8,8,0
657,1305,LA LIBERTAD,JULCAN,202006,4,0,8,13,-5
659,1305,LA LIBERTAD,JULCAN,202007,28,1,12,4,8
661,1305,LA LIBERTAD,JULCAN,202008,18,1,7,3,4
663,1305,LA LIBERTAD,JULCAN,202009,13,4,7,5,2
664,1305,LA LIBERTAD,JULCAN,202010,12,0,2,5,-3
665,1305,LA LIBERTAD,JULCAN,202011,30,0,7,8,-1
666,1305,LA LIBERTAD,JULCAN,202012,23,1,7,7,0
649,1305,LA LIBERTAD,JULCAN,202101,51,3,14,7,7
650,1305,LA LIBERTAD,JULCAN,202102,40,2,14,10,4
652,1305,LA LIBERTAD,JULCAN,202103,39,5,23,11,12
654,1305,LA LIBERTAD,JULCAN,202104,53,6,17,6,11
656,1305,LA LIBERTAD,JULCAN,202105,88,7,21,8,13
658,1305,LA LIBERTAD,JULCAN,202106,52,3,10,13,-3
660,1305,LA LIBERTAD,JULCAN,202107,21,1,8,4,4
662,1305,LA LIBERTAD,JULCAN,202108,1,0,12,3,9
669,1306,LA LIBERTAD,OTUZCO,202003,0,0,23,30,-7
671,1306,LA LIBERTAD,OTUZCO,202004,0,4,22,33,-11
673,1306,LA LIBERTAD,OTUZCO,202005,26,1,35,32,3
675,1306,LA LIBERTAD,OTUZCO,202006,92,10,66,26,40
677,1306,LA LIBERTAD,OTUZCO,202007,156,14,42,37,5
679,1306,LA LIBERTAD,OTUZCO,202008,178,14,44,26,18
681,1306,LA LIBERTAD,OTUZCO,202009,176,15,51,39,12
682,1306,LA LIBERTAD,OTUZCO,202010,123,10,51,28,23
683,1306,LA LIBERTAD,OTUZCO,202011,58,7,38,24,14
684,1306,LA LIBERTAD,OTUZCO,202012,53,5,32,35,-3
667,1306,LA LIBERTAD,OTUZCO,202101,54,3,47,30,17
668,1306,LA LIBERTAD,OTUZCO,202102,131,12,43,25,18
670,1306,LA LIBERTAD,OTUZCO,202103,157,11,67,30,37
672,1306,LA LIBERTAD,OTUZCO,202104,229,22,69,33,36
674,1306,LA LIBERTAD,OTUZCO,202105,239,18,79,32,47
676,1306,LA LIBERTAD,OTUZCO,202106,108,11,58,26,32
678,1306,LA LIBERTAD,OTUZCO,202107,125,7,44,37,7
680,1306,LA LIBERTAD,OTUZCO,202108,63,0,39,26,13
687,1307,LA LIBERTAD,PACASMAYO,202003,0,0,33,28,5
689,1307,LA LIBERTAD,PACASMAYO,202004,23,4,31,32,-1
691,1307,LA LIBERTAD,PACASMAYO,202005,105,18,54,36,18
693,1307,LA LIBERTAD,PACASMAYO,202006,189,58,61,41,20
695,1307,LA LIBERTAD,PACASMAYO,202007,193,71,106,41,65
697,1307,LA LIBERTAD,PACASMAYO,202008,365,91,110,52,58
699,1307,LA LIBERTAD,PACASMAYO,202009,356,34,58,33,25
700,1307,LA LIBERTAD,PACASMAYO,202010,162,11,39,42,-3
701,1307,LA LIBERTAD,PACASMAYO,202011,95,11,37,42,-5
702,1307,LA LIBERTAD,PACASMAYO,202012,107,21,56,37,19
685,1307,LA LIBERTAD,PACASMAYO,202101,202,41,80,35,45
686,1307,LA LIBERTAD,PACASMAYO,202102,339,52,95,38,57
688,1307,LA LIBERTAD,PACASMAYO,202103,645,80,131,28,103
690,1307,LA LIBERTAD,PACASMAYO,202104,696,89,153,32,121
692,1307,LA LIBERTAD,PACASMAYO,202105,449,68,104,36,68
694,1307,LA LIBERTAD,PACASMAYO,202106,254,35,73,41,32
696,1307,LA LIBERTAD,PACASMAYO,202107,123,7,58,41,17
698,1307,LA LIBERTAD,PACASMAYO,202108,100,6,41,52,-11
705,1308,LA LIBERTAD,PATAZ,202003,0,0,11,22,-11
707,1308,LA LIBERTAD,PATAZ,202004,3,0,8,15,-7
709,1308,LA LIBERTAD,PATAZ,202005,225,1,7,20,-13
711,1308,LA LIBERTAD,PATAZ,202006,52,8,12,24,-12
713,1308,LA LIBERTAD,PATAZ,202007,30,8,23,22,1
715,1308,LA LIBERTAD,PATAZ,202008,119,16,28,18,10
717,1308,LA LIBERTAD,PATAZ,202009,131,8,23,19,4
718,1308,LA LIBERTAD,PATAZ,202010,129,4,21,13,8
719,1308,LA LIBERTAD,PATAZ,202011,53,1,15,10,5
720,1308,LA LIBERTAD,PATAZ,202012,23,1,13,15,-2
703,1308,LA LIBERTAD,PATAZ,202101,73,6,23,16,7
704,1308,LA LIBERTAD,PATAZ,202102,76,4,22,15,7
706,1308,LA LIBERTAD,PATAZ,202103,74,2,26,22,4
708,1308,LA LIBERTAD,PATAZ,202104,188,9,37,15,22
710,1308,LA LIBERTAD,PATAZ,202105,82,13,31,20,11
712,1308,LA LIBERTAD,PATAZ,202106,31,5,23,24,-1
714,1308,LA LIBERTAD,PATAZ,202107,23,4,12,22,-10
716,1308,LA LIBERTAD,PATAZ,202108,29,2,17,18,-1
723,1309,LA LIBERTAD,SANCHEZ CARRION,202003,0,0,28,47,-19
725,1309,LA LIBERTAD,SANCHEZ CARRION,202004,1,1,22,31,-9
727,1309,LA LIBERTAD,SANCHEZ CARRION,202005,39,1,28,27,1
729,1309,LA LIBERTAD,SANCHEZ CARRION,202006,101,2,32,35,-3
731,1309,LA LIBERTAD,SANCHEZ CARRION,202007,183,10,47,37,10
733,1309,LA LIBERTAD,SANCHEZ CARRION,202008,193,24,55,23,32
735,1309,LA LIBERTAD,SANCHEZ CARRION,202009,862,8,23,45,-22
736,1309,LA LIBERTAD,SANCHEZ CARRION,202010,100,3,28,27,1
737,1309,LA LIBERTAD,SANCHEZ CARRION,202011,106,3,38,34,4
738,1309,LA LIBERTAD,SANCHEZ CARRION,202012,46,2,24,35,-11
721,1309,LA LIBERTAD,SANCHEZ CARRION,202101,66,6,44,35,9
722,1309,LA LIBERTAD,SANCHEZ CARRION,202102,153,7,32,29,3
724,1309,LA LIBERTAD,SANCHEZ CARRION,202103,326,12,39,47,-8
726,1309,LA LIBERTAD,SANCHEZ CARRION,202104,593,38,69,31,38
728,1309,LA LIBERTAD,SANCHEZ CARRION,202105,429,50,90,27,63
730,1309,LA LIBERTAD,SANCHEZ CARRION,202106,181,9,44,35,9
732,1309,LA LIBERTAD,SANCHEZ CARRION,202107,78,3,37,37,0
734,1309,LA LIBERTAD,SANCHEZ CARRION,202108,37,4,37,23,14
741,1310,LA LIBERTAD,SANTIAGO DE CHUCO,202003,0,0,5,23,-18
743,1310,LA LIBERTAD,SANTIAGO DE CHUCO,202004,0,0,12,13,-1
745,1310,LA LIBERTAD,SANTIAGO DE CHUCO,202005,15,2,10,13,-3
747,1310,LA LIBERTAD,SANTIAGO DE CHUCO,202006,33,3,10,15,-5
749,1310,LA LIBERTAD,SANTIAGO DE CHUCO,202007,110,14,21,16,5
751,1310,LA LIBERTAD,SANTIAGO DE CHUCO,202008,130,5,18,18,0
753,1310,LA LIBERTAD,SANTIAGO DE CHUCO,202009,61,7,20,20,0
754,1310,LA LIBERTAD,SANTIAGO DE CHUCO,202010,86,3,15,24,-9
755,1310,LA LIBERTAD,SANTIAGO DE CHUCO,202011,42,3,11,14,-3
756,1310,LA LIBERTAD,SANTIAGO DE CHUCO,202012,56,2,16,25,-9
739,1310,LA LIBERTAD,SANTIAGO DE CHUCO,202101,52,4,21,20,1
740,1310,LA LIBERTAD,SANTIAGO DE CHUCO,202102,65,2,24,18,6
742,1310,LA LIBERTAD,SANTIAGO DE CHUCO,202103,100,10,33,23,10
744,1310,LA LIBERTAD,SANTIAGO DE CHUCO,202104,173,19,46,13,33
746,1310,LA LIBERTAD,SANTIAGO DE CHUCO,202105,108,18,48,13,35
748,1310,LA LIBERTAD,SANTIAGO DE CHUCO,202106,41,8,29,15,14
750,1310,LA LIBERTAD,SANTIAGO DE CHUCO,202107,20,1,18,16,2
752,1310,LA LIBERTAD,SANTIAGO DE CHUCO,202108,17,2,17,18,-1
759,1311,LA LIBERTAD,GRAN CHIMU,202003,0,0,11,9,2
761,1311,LA LIBERTAD,GRAN CHIMU,202004,3,0,1,15,-14
763,1311,LA LIBERTAD,GRAN CHIMU,202005,4,0,8,13,-5
765,1311,LA LIBERTAD,GRAN CHIMU,202006,31,2,12,12,0
767,1311,LA LIBERTAD,GRAN CHIMU,202007,73,5,19,12,7
769,1311,LA LIBERTAD,GRAN CHIMU,202008,173,11,17,14,3
771,1311,LA LIBERTAD,GRAN CHIMU,202009,114,6,15,7,8
772,1311,LA LIBERTAD,GRAN CHIMU,202010,57,4,10,11,-1
773,1311,LA LIBERTAD,GRAN CHIMU,202011,37,2,11,14,-3
774,1311,LA LIBERTAD,GRAN CHIMU,202012,15,3,6,11,-5
757,1311,LA LIBERTAD,GRAN CHIMU,202101,21,2,9,11,-2
758,1311,LA LIBERTAD,GRAN CHIMU,202102,59,3,9,9,0
760,1311,LA LIBERTAD,GRAN CHIMU,202103,102,2,10,9,1
762,1311,LA LIBERTAD,GRAN CHIMU,202104,123,6,9,15,-6
764,1311,LA LIBERTAD,GRAN CHIMU,202105,118,9,18,13,5
766,1311,LA LIBERTAD,GRAN CHIMU,202106,76,2,12,12,0
768,1311,LA LIBERTAD,GRAN CHIMU,202107,30,0,9,12,-3
770,1311,LA LIBERTAD,GRAN CHIMU,202108,19,1,8,14,-6
777,1312,LA LIBERTAD,VIRU,202003,0,0,25,27,-2
779,1312,LA LIBERTAD,VIRU,202004,82,0,28,29,-1
781,1312,LA LIBERTAD,VIRU,202005,197,12,38,32,6
783,1312,LA LIBERTAD,VIRU,202006,251,63,115,31,84
785,1312,LA LIBERTAD,VIRU,202007,172,96,170,36,134
787,1312,LA LIBERTAD,VIRU,202008,235,29,61,31,30
789,1312,LA LIBERTAD,VIRU,202009,267,6,37,29,8
790,1312,LA LIBERTAD,VIRU,202010,115,8,47,25,22
791,1312,LA LIBERTAD,VIRU,202011,66,7,34,34,0
792,1312,LA LIBERTAD,VIRU,202012,27,7,42,45,-3
775,1312,LA LIBERTAD,VIRU,202101,59,6,31,24,7
776,1312,LA LIBERTAD,VIRU,202102,139,16,42,27,15
778,1312,LA LIBERTAD,VIRU,202103,369,45,94,27,67
780,1312,LA LIBERTAD,VIRU,202104,425,58,109,29,80
782,1312,LA LIBERTAD,VIRU,202105,152,45,86,32,54
784,1312,LA LIBERTAD,VIRU,202106,36,11,51,31,20
786,1312,LA LIBERTAD,VIRU,202107,32,1,25,36,-11
788,1312,LA LIBERTAD,VIRU,202108,9,3,28,31,-3
795,1401,LAMBAYEQUE,CHICLAYO,202003,28,14,48,41,7
797,1401,LAMBAYEQUE,CHICLAYO,202004,2232,398,361,40,321
799,1401,LAMBAYEQUE,CHICLAYO,202005,3971,801,804,36,768
801,1401,LAMBAYEQUE,CHICLAYO,202006,3292,500,381,38,343
803,1401,LAMBAYEQUE,CHICLAYO,202007,2523,391,353,42,311
805,1401,LAMBAYEQUE,CHICLAYO,202008,3277,384,436,30,406
807,1401,LAMBAYEQUE,CHICLAYO,202009,2793,292,306,34,272
808,1401,LAMBAYEQUE,CHICLAYO,202010,1880,247,180,31,149
809,1401,LAMBAYEQUE,CHICLAYO,202011,1473,199,163,42,121
810,1401,LAMBAYEQUE,CHICLAYO,202012,1775,217,256,30,226
793,1401,LAMBAYEQUE,CHICLAYO,202101,1869,335,320,30,290
794,1401,LAMBAYEQUE,CHICLAYO,202102,2203,367,283,44,239
796,1401,LAMBAYEQUE,CHICLAYO,202103,3971,484,431,41,390
798,1401,LAMBAYEQUE,CHICLAYO,202104,6665,881,875,40,835
800,1401,LAMBAYEQUE,CHICLAYO,202105,3787,717,687,36,651
802,1401,LAMBAYEQUE,CHICLAYO,202106,1385,200,282,38,244
804,1401,LAMBAYEQUE,CHICLAYO,202107,882,71,159,42,117
806,1401,LAMBAYEQUE,CHICLAYO,202108,576,32,133,30,103
813,1402,LAMBAYEQUE,FERREÑAFE,202003,6,3,9,5,4
815,1402,LAMBAYEQUE,FERREÑAFE,202004,453,83,110,7,103
817,1402,LAMBAYEQUE,FERREÑAFE,202005,632,42,83,3,80
819,1402,LAMBAYEQUE,FERREÑAFE,202006,363,23,27,2,25
821,1402,LAMBAYEQUE,FERREÑAFE,202007,353,32,27,5,22
823,1402,LAMBAYEQUE,FERREÑAFE,202008,691,68,77,9,68
825,1402,LAMBAYEQUE,FERREÑAFE,202009,414,29,48,5,43
826,1402,LAMBAYEQUE,FERREÑAFE,202010,184,29,24,0,24
827,1402,LAMBAYEQUE,FERREÑAFE,202011,126,15,14,6,8
828,1402,LAMBAYEQUE,FERREÑAFE,202012,167,30,41,2,39
811,1402,LAMBAYEQUE,FERREÑAFE,202101,130,31,32,2,30
812,1402,LAMBAYEQUE,FERREÑAFE,202102,112,33,20,5,15
814,1402,LAMBAYEQUE,FERREÑAFE,202103,188,44,25,5,20
816,1402,LAMBAYEQUE,FERREÑAFE,202104,87,61,88,7,81
818,1402,LAMBAYEQUE,FERREÑAFE,202105,5,59,57,3,54
820,1402,LAMBAYEQUE,FERREÑAFE,202106,2,21,27,2,25
822,1402,LAMBAYEQUE,FERREÑAFE,202107,2,6,13,5,8
824,1402,LAMBAYEQUE,FERREÑAFE,202108,1,6,11,9,2
831,1403,LAMBAYEQUE,LAMBAYEQUE,202003,1,0,22,8,14
833,1403,LAMBAYEQUE,LAMBAYEQUE,202004,416,71,122,12,110
835,1403,LAMBAYEQUE,LAMBAYEQUE,202005,1527,255,382,15,367
837,1403,LAMBAYEQUE,LAMBAYEQUE,202006,1144,143,189,6,183
839,1403,LAMBAYEQUE,LAMBAYEQUE,202007,936,95,115,16,99
841,1403,LAMBAYEQUE,LAMBAYEQUE,202008,1129,68,140,4,136
843,1403,LAMBAYEQUE,LAMBAYEQUE,202009,833,61,110,4,106
844,1403,LAMBAYEQUE,LAMBAYEQUE,202010,400,43,48,18,30
845,1403,LAMBAYEQUE,LAMBAYEQUE,202011,273,45,49,21,28
846,1403,LAMBAYEQUE,LAMBAYEQUE,202012,157,47,85,10,75
829,1403,LAMBAYEQUE,LAMBAYEQUE,202101,399,35,62,6,56
830,1403,LAMBAYEQUE,LAMBAYEQUE,202102,488,60,72,10,62
832,1403,LAMBAYEQUE,LAMBAYEQUE,202103,720,109,121,8,113
834,1403,LAMBAYEQUE,LAMBAYEQUE,202104,1197,163,240,12,228
836,1403,LAMBAYEQUE,LAMBAYEQUE,202105,729,113,147,15,132
838,1403,LAMBAYEQUE,LAMBAYEQUE,202106,255,63,125,6,119
840,1403,LAMBAYEQUE,LAMBAYEQUE,202107,195,22,63,16,47
842,1403,LAMBAYEQUE,LAMBAYEQUE,202108,81,17,45,4,41
849,1501,LIMA,LIMA,202003,972,82,3600,2551,1049
851,1501,LIMA,LIMA,202004,26912,2452,5651,2346,3305
853,1501,LIMA,LIMA,202005,72585,7418,11478,2322,9156
855,1501,LIMA,LIMA,202006,49614,7702,11706,2491,9215
857,1501,LIMA,LIMA,202007,49566,6981,10635,2663,7972
859,1501,LIMA,LIMA,202008,77638,6803,10516,2820,7696
861,1501,LIMA,LIMA,202009,50642,3482,6410,2697,3713
862,1501,LIMA,LIMA,202010,30127,1754,4710,2941,1769
863,1501,LIMA,LIMA,202011,15705,1048,3904,2816,1088
864,1501,LIMA,LIMA,202012,15612,1219,4311,2786,1525
847,1501,LIMA,LIMA,202101,58065,4635,8283,2545,5738
848,1501,LIMA,LIMA,202102,91452,9057,12859,2484,10375
850,1501,LIMA,LIMA,202103,97888,10525,14580,2551,12029
852,1501,LIMA,LIMA,202104,79116,9517,13018,2346,10672
854,1501,LIMA,LIMA,202105,37640,5116,8385,2322,6063
856,1501,LIMA,LIMA,202106,20211,1811,5302,2491,2811
858,1501,LIMA,LIMA,202107,12919,857,4611,2663,1948
860,1501,LIMA,LIMA,202108,10243,437,3895,2820,1075
867,1502,LIMA,BARRANCA,202003,1,1,31,15,16
869,1502,LIMA,BARRANCA,202004,47,4,37,19,18
871,1502,LIMA,BARRANCA,202005,159,15,43,18,25
873,1502,LIMA,BARRANCA,202006,646,61,89,55,34
875,1502,LIMA,BARRANCA,202007,1306,190,226,60,166
877,1502,LIMA,BARRANCA,202008,1275,137,181,56,125
879,1502,LIMA,BARRANCA,202009,593,47,96,61,35
880,1502,LIMA,BARRANCA,202010,326,33,71,50,21
881,1502,LIMA,BARRANCA,202011,258,18,74,19,55
882,1502,LIMA,BARRANCA,202012,214,14,53,26,27
865,1502,LIMA,BARRANCA,202101,317,40,97,17,80
866,1502,LIMA,BARRANCA,202102,782,90,137,29,108
868,1502,LIMA,BARRANCA,202103,1382,139,202,15,187
870,1502,LIMA,BARRANCA,202104,1357,197,251,19,232
872,1502,LIMA,BARRANCA,202105,607,114,162,18,144
874,1502,LIMA,BARRANCA,202106,229,39,101,55,46
876,1502,LIMA,BARRANCA,202107,92,13,72,60,12
878,1502,LIMA,BARRANCA,202108,64,7,73,56,17
885,1503,LIMA,CAJATAMBO,202003,0,0,4,1,3
887,1503,LIMA,CAJATAMBO,202004,1,0,0,1,-1
889,1503,LIMA,CAJATAMBO,202005,9,0,1,2,-1
891,1503,LIMA,CAJATAMBO,202006,3,5,3,0,3
893,1503,LIMA,CAJATAMBO,202007,7,12,2,0,2
895,1503,LIMA,CAJATAMBO,202008,7,23,4,1,3
897,1503,LIMA,CAJATAMBO,202009,3,1,2,1,1
898,1503,LIMA,CAJATAMBO,202010,0,0,1,3,-2
899,1503,LIMA,CAJATAMBO,202011,4,1,1,4,-3
900,1503,LIMA,CAJATAMBO,202012,1,1,5,1,4
883,1503,LIMA,CAJATAMBO,202101,3,0,0,3,-3
884,1503,LIMA,CAJATAMBO,202102,36,2,9,3,6
886,1503,LIMA,CAJATAMBO,202103,80,4,6,1,5
888,1503,LIMA,CAJATAMBO,202104,60,0,5,1,4
890,1503,LIMA,CAJATAMBO,202105,51,3,5,2,3
892,1503,LIMA,CAJATAMBO,202106,57,3,3,0,3
894,1503,LIMA,CAJATAMBO,202107,1,1,6,0,6
896,1503,LIMA,CAJATAMBO,202108,3,0,4,1,3
903,1504,LIMA,CANTA,202003,0,0,6,8,-2
905,1504,LIMA,CANTA,202004,11,0,9,5,4
907,1504,LIMA,CANTA,202005,41,5,11,5,6
909,1504,LIMA,CANTA,202006,106,5,7,6,1
911,1504,LIMA,CANTA,202007,106,6,17,6,11
913,1504,LIMA,CANTA,202008,58,13,16,1,15
915,1504,LIMA,CANTA,202009,26,2,7,5,2
916,1504,LIMA,CANTA,202010,14,1,8,3,5
917,1504,LIMA,CANTA,202011,6,0,3,6,-3
918,1504,LIMA,CANTA,202012,9,1,5,4,1
901,1504,LIMA,CANTA,202101,52,6,15,6,9
902,1504,LIMA,CANTA,202102,58,5,15,5,10
904,1504,LIMA,CANTA,202103,89,3,15,8,7
906,1504,LIMA,CANTA,202104,138,10,22,5,17
908,1504,LIMA,CANTA,202105,77,4,12,5,7
910,1504,LIMA,CANTA,202106,37,3,6,6,0
912,1504,LIMA,CANTA,202107,15,1,4,6,-2
914,1504,LIMA,CANTA,202108,21,1,5,1,4
921,1505,LIMA,CAÑETE,202003,1,0,42,86,-44
923,1505,LIMA,CAÑETE,202004,333,47,65,64,1
925,1505,LIMA,CAÑETE,202005,1314,133,147,66,81
927,1505,LIMA,CAÑETE,202006,1773,225,237,81,156
929,1505,LIMA,CAÑETE,202007,1353,188,187,97,90
931,1505,LIMA,CAÑETE,202008,1539,129,133,87,46
933,1505,LIMA,CAÑETE,202009,761,72,73,54,19
934,1505,LIMA,CAÑETE,202010,75,38,63,82,-19
935,1505,LIMA,CAÑETE,202011,85,23,51,71,-20
936,1505,LIMA,CAÑETE,202012,98,21,62,68,-6
919,1505,LIMA,CAÑETE,202101,786,87,119,59,60
920,1505,LIMA,CAÑETE,202102,1023,217,236,79,157
922,1505,LIMA,CAÑETE,202103,372,237,265,86,179
924,1505,LIMA,CAÑETE,202104,268,239,300,64,236
926,1505,LIMA,CAÑETE,202105,352,185,240,66,174
928,1505,LIMA,CAÑETE,202106,58,56,110,81,29
930,1505,LIMA,CAÑETE,202107,13,22,81,97,-16
932,1505,LIMA,CAÑETE,202108,6,7,55,87,-32
939,1506,LIMA,HUARAL,202003,4,0,76,77,-1
941,1506,LIMA,HUARAL,202004,152,19,90,73,17
943,1506,LIMA,HUARAL,202005,1355,114,204,75,129
945,1506,LIMA,HUARAL,202006,1284,199,276,89,187
947,1506,LIMA,HUARAL,202007,895,122,190,83,107
949,1506,LIMA,HUARAL,202008,1949,79,129,71,58
951,1506,LIMA,HUARAL,202009,572,45,97,80,17
952,1506,LIMA,HUARAL,202010,237,32,79,65,14
953,1506,LIMA,HUARAL,202011,127,18,63,76,-13
954,1506,LIMA,HUARAL,202012,200,16,106,56,50
937,1506,LIMA,HUARAL,202101,806,57,123,72,51
938,1506,LIMA,HUARAL,202102,1449,106,178,86,92
940,1506,LIMA,HUARAL,202103,2228,167,240,77,163
942,1506,LIMA,HUARAL,202104,2209,206,276,73,203
944,1506,LIMA,HUARAL,202105,923,140,207,75,132
946,1506,LIMA,HUARAL,202106,282,50,124,89,35
948,1506,LIMA,HUARAL,202107,173,19,91,83,8
950,1506,LIMA,HUARAL,202108,198,15,101,71,30
957,1507,LIMA,HUAROCHIRI,202003,0,0,42,31,11
959,1507,LIMA,HUAROCHIRI,202004,51,6,30,22,8
961,1507,LIMA,HUAROCHIRI,202005,278,21,63,28,35
963,1507,LIMA,HUAROCHIRI,202006,186,33,79,25,54
965,1507,LIMA,HUAROCHIRI,202007,263,32,85,32,53
967,1507,LIMA,HUAROCHIRI,202008,480,53,108,33,75
969,1507,LIMA,HUAROCHIRI,202009,160,23,64,20,44
970,1507,LIMA,HUAROCHIRI,202010,56,7,44,28,16
971,1507,LIMA,HUAROCHIRI,202011,45,6,25,31,-6
972,1507,LIMA,HUAROCHIRI,202012,36,8,43,28,15
955,1507,LIMA,HUAROCHIRI,202101,172,23,88,32,56
956,1507,LIMA,HUAROCHIRI,202102,418,45,93,30,63
958,1507,LIMA,HUAROCHIRI,202103,700,69,133,31,102
960,1507,LIMA,HUAROCHIRI,202104,740,73,122,22,100
962,1507,LIMA,HUAROCHIRI,202105,388,61,107,28,79
964,1507,LIMA,HUAROCHIRI,202106,176,19,57,25,32
966,1507,LIMA,HUAROCHIRI,202107,150,9,51,32,19
968,1507,LIMA,HUAROCHIRI,202108,68,11,42,33,9
975,1508,LIMA,HUAURA,202003,2,1,52,45,7
